Date Time,VALUE,QUALITY,COMMENT
2024/03/29 00:00:00,0.00,146,
2024/03/30 00:00:00,0.00,146,
2024/03/31 00:00:00,0.00,146,
2024/04/01 00:00:00,0.00,146,
2024/04/02 00:00:00,0.00,146,
2024/04/03 00:00:00,0.00,146,
2024/04/04 00:00:00,0.00,146,
2024/04/05 00:00:00,0.00,146,
2024/04/06 00:00:00,0.00,146,
2024/04/07 00:00:00,0.00,146,
2024/04/08 00:00:00,0.00,146,
2024/04/09 00:00:00,0.00,146,
2024/04/10 00:00:00,0.00,146,
2024/04/11 00:00:00,0.00,146,
2024/04/12 00:00:00,0.00,146,
2024/04/13 00:00:00,0.00,146,
2024/04/14 00:00:00,0.00,146,
2024/04/15 00:00:00,0.00,146,
2024/04/16 00:00:00,0.00,146,
2024/04/17 00:00:00,0.00,146,
2024/04/18 00:00:00,0.00,146,
2024/04/19 00:00:00,0.00,146,
2024/04/20 00:00:00,0.00,146,
2024/04/21 00:00:00,0.00,146,
2024/04/22 00:00:00,0.00,146,
2024/04/23 00:00:00,0.00,146,
2024/04/24 00:00:00,0.00,146,
2024/04/25 00:00:00,0.00,146,
2024/04/26 00:00:00,0.00,146,
2024/04/27 00:00:00,0.00,146,
2024/04/28 00:00:00,0.00,146,
2024/04/29 00:00:00,0.00,146,
2024/04/30 00:00:00,0.00,146,
2024/05/01 00:00:00,0.00,146,
2024/05/02 00:00:00,0.00,146,
2024/05/03 00:00:00,0.00,146,
2024/05/04 00:00:00,0.00,146,
2024/05/05 00:00:00,0.00,146,
2024/05/06 00:00:00,0.00,146,
2024/05/07 00:00:00,0.00,146,
2024/05/08 00:00:00,0.00,146,
2024/05/09 00:00:00,0.00,146,
2024/05/10 00:00:00,0.00,146,
2024/05/11 00:00:00,0.00,146,
2024/05/12 00:00:00,0.00,146,
2024/05/13 00:00:00,0.00,146,
2024/05/14 00:00:00,0.00,146,
2024/05/15 00:00:00,0.00,146,
2024/05/16 00:00:00,0.00,146,
2024/05/17 00:00:00,0.00,146,
2024/05/18 00:00:00,0.00,146,
2024/05/19 00:00:00,0.00,146,
2024/05/20 00:00:00,0.00,146,
2024/05/21 00:00:00,0.00,146,
2024/05/22 00:00:00,0.00,146,
2024/05/23 00:00:00,0.00,146,
2024/05/24 00:00:00,0.00,146,
2024/05/25 00:00:00,0.00,146,
2024/05/26 00:00:00,0.00,146,
2024/05/27 00:00:00,0.00,146,
2024/05/28 00:00:00,0.00,146,
2024/05/29 00:00:00,0.00,146,
2024/05/30 00:00:00,0.13,146,
2024/05/31 00:00:00,0.16,146,
2024/06/01 00:00:00,0.15,146,
2024/06/02 00:00:00,0.13,146,
2024/06/03 00:00:00,0.10,146,
2024/06/04 00:00:00,0.10,146,
2024/06/05 00:00:00,0.12,146,
2024/06/06 00:00:00,0.13,146,
2024/06/07 00:00:00,0.14,146,
2024/06/08 00:00:00,0.12,146,
2024/06/09 00:00:00,0.14,146,
2024/06/10 00:00:00,0.14,146,
2024/06/11 00:00:00,0.14,146,
2024/06/12 00:00:00,0.15,146,
2024/06/13 00:00:00,0.15,146,
2024/06/14 00:00:00,0.17,146,
2024/06/15 00:00:00,0.22,146,
2024/06/16 00:00:00,0.24,146,
2024/06/17 00:00:00,0.19,146,
2024/06/18 00:00:00,0.15,146,
2024/06/19 00:00:00,0.13,146,
2024/06/20 00:00:00,0.12,146,
2024/06/21 00:00:00,0.12,146,
2024/06/22 00:00:00,0.13,146,
2024/06/23 00:00:00,0.12,146,
2024/06/24 00:00:00,0.12,146,
2024/06/25 00:00:00,0.12,146,
2024/06/26 00:00:00,0.11,146,
2024/06/27 00:00:00,0.10,146,
2024/06/28 00:00:00,0.10,146,
2024/06/29 00:00:00,0.11,146,
2024/06/30 00:00:00,0.11,146,
2024/07/01 00:00:00,0.12,146,
2024/07/02 00:00:00,0.14,146,
2024/07/03 00:00:00,0.14,146,
2024/07/04 00:00:00,0.21,146,
2024/07/05 00:00:00,0.24,146,
2024/07/06 00:00:00,0.19,146,
2024/07/07 00:00:00,0.16,146,
2024/07/08 00:00:00,0.15,146,
2024/07/09 00:00:00,0.14,146,
2024/07/10 00:00:00,0.14,146,
2024/07/11 00:00:00,0.00,180,
2024/07/12 00:00:00,0.00,180,
2024/07/13 00:00:00,0.13,146,
2024/07/14 00:00:00,0.14,146,
2024/07/15 00:00:00,0.17,146,
2024/07/16 00:00:00,0.27,146,
2024/07/17 00:00:00,0.26,146,
2024/07/18 00:00:00,0.26,146,
2024/07/19 00:00:00,0.40,146,
2024/07/20 00:00:00,0.34,146,
2024/07/21 00:00:00,0.28,146,
2024/07/22 00:00:00,0.26,146,
2024/07/23 00:00:00,0.42,146,
2024/07/24 00:00:00,0.34,146,
2024/07/25 00:00:00,0.26,146,
2024/07/26 00:00:00,0.22,146,
2024/07/27 00:00:00,0.19,146,
2024/07/28 00:00:00,0.19,146,
2024/07/29 00:00:00,0.19,146,
2024/07/30 00:00:00,0.19,146,
2024/07/31 00:00:00,0.18,146,
2024/08/01 00:00:00,0.21,146,
2024/08/02 00:00:00,0.20,146,
2024/08/03 00:00:00,0.18,146,
2024/08/04 00:00:00,0.17,146,
2024/08/05 00:00:00,0.16,146,
2024/08/06 00:00:00,0.16,146,
2024/08/07 00:00:00,0.16,146,
2024/08/08 00:00:00,0.15,146,
2024/08/09 00:00:00,0.14,146,
2024/08/10 00:00:00,0.14,146,
2024/08/11 00:00:00,0.13,146,
2024/08/12 00:00:00,0.13,146,
2024/08/13 00:00:00,0.13,146,
2024/08/14 00:00:00,0.13,146,
2024/08/15 00:00:00,0.13,146,
2024/08/16 00:00:00,0.14,146,
2024/08/17 00:00:00,0.14,146,
2024/08/18 00:00:00,0.14,146,
2024/08/19 00:00:00,0.14,146,
2024/08/20 00:00:00,0.16,146,
2024/08/21 00:00:00,0.19,146,
2024/08/22 00:00:00,0.18,146,
2024/08/23 00:00:00,0.17,146,
2024/08/24 00:00:00,0.20,146,
2024/08/25 00:00:00,0.21,146,
2024/08/26 00:00:00,0.20,146,
2024/08/27 00:00:00,0.18,146,
2024/08/28 00:00:00,0.17,146,
2024/08/29 00:00:00,0.16,146,
2024/08/30 00:00:00,0.16,146,
2024/08/31 00:00:00,0.15,146,
2024/09/01 00:00:00,0.15,146,
2024/09/02 00:00:00,0.16,146,
2024/09/03 00:00:00,0.18,146,
2024/09/04 00:00:00,0.18,146,
2024/09/05 00:00:00,0.24,146,
2024/09/06 00:00:00,0.34,146,
2024/09/07 00:00:00,0.27,146,
2024/09/08 00:00:00,0.23,146,
